Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.215.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.216.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.217.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.218.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.219.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.220.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.221.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.222.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.223.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.224.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.225.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.226.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.227.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.228.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.229.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.230.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.231.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.232.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.233.St_Caption,
